영역,,설명,Line 개수,,,,,,,,비고
구분,상세,,4,3,2,1,5,6,7,8,
Admin,-,인사 2+ 생산 1+ ISQ 1+ TCM 1,3,3,2,1,4,4,5,5,HR OH 표준 업데이트 예정
,,,인1+생1+ISQ1,인1+생1+ISQ1,인사1+생산1,인사1,인2+생1+ISQ1,인2+생1+ISQ1,인2+생2+ISQ1,인2+생2+ISQ1,
Small Tooling,Last+ Small Tooling,라스트+ 재단칼+ 패드 관리,2,1,1,0,2,3,3,4,TL 1
,,,TM2,TM1,TM1,,TM2,TM3,TM3,TM4,
Small Tooling,Pallet,노쏘+ 컴퓨터 Pallet 수리,2,2,1,1,3,3,4,4,
,,,TL1+TM1,TL1+TM1,TL1,TL1,TL1+TM2,TL1+TM2,TL1+TM3,TL1+TM3,
Upper+ Bottom Market,, 통합 GL,1,1,0,0,1,1,1,1,
,,,,,,,,,,,
Sub Material,-,부자재 실 관리,2,2,1,1,3,3,4,4,Upper Material 통합 TL 1
,,,TM2,TM2,TM1,TM1,TM3,TM3,TM4,TM4,
Raw Material,-,원자재 입고 및 재단 셋팅 인원,3,3,2,1,4,5,6,6,ACC Market IE Indirect 표준 업데이트 예정
,,,TL1+TM2,TL1+TM2,TL1+TM1,TL1,TL1+TM3,TL1+TM4,TL1+TM5,TL1+TM5,
ACC Market,-,ACC Market 관리,2,2,1,1,3,3,4,4,
,,,TM2,TM2,TM1,TM1,TM3,TM3,TM4,TM4,
Bottom Market,-,미드솔+ 아웃솔+ Bottom ACC 물류공,6,5,3,2,7,8,9,10,TL 1
,,,TL1+OS2+MS2+ACC1,TL1+OS2+MS2,OS1+MS2,OS1+MS1,TL1+OS2+MS3+ACC1,TL1+OS3+MS3+ACC1,TL1+OS4+MS3+ACC1,TL1+OS4+MS4+ACC1,
FG WH+ P&L Market,,통합 GL,1,1,0,0,1,1,1,1,
,,,,,,,,,,,
P&L Market,Stencil,카툰 박스 스티커 부착인원,2,2,1,1,3,3,4,4,TL 1
,,,TM2,TM2,TM1,TM1,TM3,TM3,TM4,TM4,
P&L Market,CO Label,CO 라벨 수령 및 B/C 그레이드 등록 인원,1,1,1,1,1,1,1,1,
,,,TM1,TM1,TM1,TM1,TM1,TM1,TM1,TM1,
P&L Market,Box MH,카톤+ 이너 박스 물류공,2,2,1,1,3,3,4,4,
,,,TM2,TM2,TM1,TM1,TM3,TM3,TM4,TM4,
P&L Market,Paper MH,화지 물류공,2,2,1,1,3,3,4,4,
,,,TM2,TM2,TM1,TM1,TM3,TM3,TM4,TM4,
FG WH,Shipping,화물차 컨테이너 선적 인원,3,3,2,1,4,5,6,6,
,,,TM3,TM3,TM2,TM1,TM4,TM5,TM6,TM6,
FG WH,Incoming+ Setting,제조 후 창고 입고 및 재고 셋팅 물류공,4,3,2,1,5,6,7,8,TL 1 à Metal Detector 통합
,,,TM4,TM3,TM2,TM1,TM5,TM6,TM7,TM8,
FG WH,Scan+ System+ Report,재스캔+ 시스템+ 보고서 작성 인원,1,1,1,1,1,1,1,1,
,,,TM1,TM1,TM1,TM1,TM1,TM1,TM1,TM1,
